age,gender,location,device_type,ad_type,hour_of_day,budget,avg_competitor_bid,click
31,M,Urban,Mobile,Video,0,2134.249789415986,0.27731113245314554,0
26,M,Suburban,Mobile,Video,5,2131.989889521522,1.9366907347886337,0
43,F,Urban,Mobile,Video,4,1685.229772276415,0.2996710217435957,0
19,M,Suburban,Desktop,Video,3,1541.7671277885563,1.7674530347411757,0
37,F,Rural,Mobile,Banner,12,843.3869634763065,0.17292634471782564,0
45,M,Urban,Desktop,Video,19,1838.3844147995699,1.10915713817431,0
64,F,Suburban,Desktop,Banner,16,677.574627325324,1.7202411504766824,0
24,F,Suburban,Desktop,Text,12,1670.4929001317926,1.3057748524828654,0
61,F,Urban,Mobile,Text,21,2327.251896950247,1.0382534748188705,0
25,F,Suburban,Tablet,Banner,15,1607.1574700643973,0.342004724063542,0
64,M,Rural,Mobile,Banner,12,1770.707451785321,1.3525489046259913,0
52,M,Urban,Mobile,Text,22,2605.514721070527,1.244424839164039,0
31,F,Urban,Mobile,Banner,0,2116.4558110569797,0.9714499339196944,0
34,F,Urban,Desktop,Banner,9,818.9913541057688,0.5463794659568737,0
53,M,Urban,Tablet,Video,17,1857.3427563584871,0.5182128857065753,0
57,M,Urban,Mobile,Text,22,1411.4384311965118,1.9430230468926875,0
21,M,Rural,Mobile,Banner,23,1017.0813818334017,1.9336115572255024,0
19,M,Urban,Desktop,Banner,23,2119.9217014698925,1.880234605434954,0
23,M,Rural,Mobile,Banner,16,1466.2583064727187,1.0803882788187278,0
59,M,Rural,Mobile,Video,16,2418.267323829593,1.9777239692597512,0
21,F,Rural,Desktop,Text,9,1966.2519691472544,0.6651177503551761,0
46,M,Urban,Mobile,Text,19,760.641547767736,0.9110826743726378,1
35,M,Rural,Tablet,Banner,1,1375.8731983720695,0.4312288286579459,0
43,F,Urban,Desktop,Banner,9,1174.6073277879873,0.9818045081236134,0
61,M,Rural,Tablet,Video,19,874.9314182497279,0.4515506619854084,0
51,M,Urban,Mobile,Banner,5,2500.5487762361026,0.22585793197720536,0
27,M,Suburban,Desktop,Banner,2,1446.3217603167911,0.11896322072864625,0
53,F,Suburban,Desktop,Video,9,2033.1471187409088,0.8190815647185455,0
31,M,Rural,Mobile,Banner,18,2705.0302992353595,1.8054440199389812,0
48,F,Suburban,Tablet,Text,16,1857.5165267085345,0.9310453767055673,0
32,M,Rural,Mobile,Text,11,1145.2013818409418,1.326667975980426,0
25,F,Rural,Desktop,Text,20,2476.712004212165,1.6540019175878369,0
31,M,Rural,Desktop,Video,11,1589.3870393426587,1.1506076672653152,0
40,M,Suburban,Desktop,Video,22,1909.5913481679252,1.1700733638241578,0
57,M,Rural,Mobile,Text,5,2755.2080438716503,1.095841813830268,0
38,F,Suburban,Mobile,Text,11,1723.1879662573535,0.33766408693839745,0
33,M,Suburban,Mobile,Video,19,1336.7355442650355,1.3077397576994652,0
62,M,Urban,Tablet,Banner,5,2318.483948780002,1.474033788646183,0
35,F,Suburban,Tablet,Banner,2,833.7510611292865,0.10052824897260489,0
64,F,Urban,Tablet,Video,2,2784.3105654346955,0.25836173002961715,0
41,F,Rural,Desktop,Text,22,2788.8659597962796,1.1291970456251978,0
43,M,Rural,Tablet,Video,8,1948.5183602705538,1.6939955492973109,0
42,F,Urban,Desktop,Text,0,885.7395963660692,1.11293241022585,0
62,M,Rural,Tablet,Video,3,1630.227699166807,0.9256265212748225,0
58,F,Urban,Tablet,Video,11,1558.2625848662763,1.8798960193778789,0
46,F,Urban,Desktop,Video,4,1245.7841528282506,0.24497738834908683,0
32,M,Rural,Mobile,Video,17,937.7503069049612,0.36258315689473053,0
62,M,Urban,Tablet,Video,15,1159.2389142240195,1.4017637708529151,0
18,M,Urban,Desktop,Video,9,1888.821246311753,0.30676611719663704,0
42,M,Urban,Mobile,Text,11,2214.2669042814387,0.35675808742360327,0
24,F,Rural,Mobile,Text,10,2948.9904468565896,1.7566643721181654,0
26,F,Rural,Mobile,Banner,18,1039.3959664228391,0.4993695253734277,0
41,F,Rural,Desktop,Video,4,1010.0405957526166,1.2826224265557415,0
18,M,Rural,Tablet,Banner,23,792.5833640920323,0.8538423395969403,0
61,M,Rural,Tablet,Banner,2,2847.483721958123,0.3597779024800588,0
25,F,Suburban,Tablet,Video,18,1454.622739852538,0.8335680738964274,0
41,F,Suburban,Mobile,Video,5,2809.9519980704613,0.8908619811510567,0
28,M,Urban,Tablet,Banner,23,2723.588734658204,1.2944059991472519,0
34,F,Suburban,Desktop,Banner,16,609.9392658058767,0.39163102638343006,0
25,F,Rural,Tablet,Video,22,1199.4279019033038,0.17096995854914782,0
52,F,Rural,Tablet,Video,12,1256.3072444493355,1.2513811228422802,0
52,M,Rural,Tablet,Video,6,1193.3676425793406,0.2242747442618114,0
50,F,Urban,Tablet,Text,18,1563.3395321424093,0.39234770174790967,0
22,M,Urban,Desktop,Banner,18,1748.2696328812406,1.9647931429476644,0
59,F,Urban,Tablet,Banner,11,2395.498562640628,0.14325517906427074,0
56,M,Urban,Mobile,Banner,10,1169.2572441165016,1.320326244668741,0
58,F,Urban,Tablet,Text,16,1246.8666380283687,0.3637675202720334,0
45,F,Urban,Mobile,Banner,16,1996.514091568401,1.6602361621326294,0
24,F,Suburban,Mobile,Video,17,948.1723964819375,1.2053549247783546,0
26,M,Rural,Mobile,Text,14,1682.9821326683177,0.997698315517306,0
25,F,Suburban,Desktop,Banner,5,1127.462749376787,0.9747734055121534,0
29,F,Urban,Mobile,Text,7,994.975254704812,1.3747940684585738,0
51,M,Rural,Mobile,Text,10,2489.1326907682674,1.6934969277788576,0
50,M,Rural,Tablet,Video,12,2267.8069928595783,0.11316718039870183,0
40,F,Rural,Desktop,Text,16,1124.5315358553491,0.13847724396956163,0
41,F,Suburban,Desktop,Video,16,1537.933812873392,0.6176588290295595,0
54,F,Rural,Desktop,Video,17,885.5601548303462,1.502698335872522,0
52,F,Urban,Mobile,Banner,15,632.9210968065516,0.46818469782532535,0
61,F,Urban,Mobile,Video,22,1963.0505089490687,0.8727898043017521,0
57,M,Suburban,Mobile,Banner,15,1408.909562319854,1.0644284611992023,0
39,F,Suburban,Tablet,Banner,3,1018.1280187261656,0.8085766660078642,0
44,M,Urban,Mobile,Banner,16,786.5153643938145,0.982808515919099,0
52,M,Suburban,Desktop,Video,7,2200.0695065007585,1.6176225841626712,0
18,F,Rural,Tablet,Banner,19,1178.6500150363672,0.535477716138911,0
52,M,Suburban,Tablet,Video,6,2768.472275688035,0.7208076723114824,0
54,F,Rural,Desktop,Video,7,982.0141244060937,1.1004981318207796,0
64,M,Rural,Mobile,Banner,0,1109.4377890620528,1.7436783381895968,0
31,M,Rural,Tablet,Video,1,2629.336641298155,0.48994273093871765,0
20,F,Rural,Desktop,Banner,12,1931.0768142744757,1.0970342481401592,0
18,F,Rural,Mobile,Banner,1,770.9466751360287,1.7639720443031988,0
22,M,Urban,Tablet,Banner,4,1873.650469767917,0.3137560523616551,0
43,F,Urban,Tablet,Text,4,1270.320133724178,1.4707247548275322,0
31,F,Urban,Tablet,Video,5,2342.3542357807682,0.5250851681824978,0
56,M,Rural,Tablet,Text,17,694.475311017387,0.429854121636872,0
44,M,Suburban,Tablet,Text,15,2794.713873488622,0.5490640193834313,0
26,M,Suburban,Mobile,Video,23,1695.5063702147156,1.0554448395271983,0
32,F,Rural,Desktop,Video,16,2335.712906806626,1.246450896744329,0
32,F,Suburban,Tablet,Banner,8,2261.653981884426,0.4690760280930868,0
43,F,Rural,Desktop,Text,20,945.6271228113278,0.3127297413450485,0
59,M,Suburban,Desktop,Video,7,2700.233189898693,0.9600635791691066,0
30,F,Rural,Desktop,Banner,7,1081.7532354961504,0.20905434583119648,0
49,M,Suburban,Mobile,Video,1,976.4183034179595,1.123978218223806,0
56,M,Suburban,Desktop,Video,8,1801.6046458236651,1.3974541739251662,0
49,M,Urban,Desktop,Banner,5,2961.36670265181,1.8970021851964822,0
21,M,Suburban,Desktop,Video,18,1283.486374638721,0.37158752544390306,0
47,M,Suburban,Tablet,Banner,0,2911.12800975524,0.9232910473763577,1
54,M,Rural,Tablet,Text,18,1587.7279990714694,0.5877403348984173,0
40,M,Suburban,Desktop,Banner,0,2586.6893870343265,0.5140158758372168,0
56,F,Suburban,Mobile,Video,20,1824.9608743382896,1.0870969576597915,0
62,M,Suburban,Tablet,Text,23,1013.1530561674139,0.37253509575466914,0
32,F,Suburban,Tablet,Text,12,2699.983102028041,0.12928883081355663,0
60,F,Suburban,Desktop,Banner,6,679.9156133949095,0.4080575599635796,0
46,F,Urban,Desktop,Banner,20,2206.886168038177,0.7374800357053112,0
53,F,Suburban,Mobile,Banner,12,2576.8961545067473,0.12084902948166427,0
30,F,Rural,Tablet,Text,17,2580.06366731875,1.7285540746123522,0
49,M,Rural,Desktop,Banner,1,2138.2477901966886,1.2087866918291645,0
24,F,Suburban,Tablet,Video,2,1127.4934888413445,0.15159923182883606,0
39,F,Suburban,Desktop,Text,5,1829.1668692231542,0.5343673905912829,0
45,F,Suburban,Desktop,Banner,12,2073.8407887909566,1.362223632782081,0
19,M,Urban,Mobile,Text,19,2724.235882762967,0.15688558770030292,0
59,F,Rural,Tablet,Video,8,899.1700517357372,0.81623508979072,0
62,F,Urban,Tablet,Video,2,1662.2985391717566,0.2836629770113699,0
23,F,Urban,Desktop,Video,21,1332.8398433180455,0.8440381922882286,0
45,F,Suburban,Mobile,Banner,14,1569.2809489727981,1.9392408696085222,0
45,M,Suburban,Mobile,Banner,3,957.6233228241647,0.9645150835308479,0
61,F,Rural,Mobile,Text,16,1043.5772136393039,1.2660262033698526,0
61,M,Suburban,Tablet,Banner,16,2424.622346282823,0.87604077901449,0
37,M,Rural,Desktop,Text,12,1695.9408339265337,0.6985403100103712,0
47,F,Urban,Desktop,Banner,10,1785.3680243189483,1.2601777712482882,0
28,F,Rural,Mobile,Video,7,2743.695267541106,1.279390144325158,0
45,M,Rural,Mobile,Banner,2,1099.949059066493,1.2691328940224376,0
42,F,Rural,Mobile,Banner,17,1323.1788863970964,0.15095363222445474,0
56,F,Urban,Tablet,Banner,0,1271.5409339242185,1.4234076801414242,0
50,F,Urban,Desktop,Video,7,2148.09535639757,1.384087890997983,0
18,M,Suburban,Mobile,Text,8,1906.126796217721,0.23325402908231685,0
44,M,Suburban,Mobile,Banner,16,1678.861555971173,0.4613164855877466,0
30,F,Rural,Desktop,Video,7,2169.9608464118573,1.0886679087338877,0
58,F,Rural,Tablet,Banner,10,1709.7966086762613,0.7854790646674841,0
20,M,Urban,Tablet,Banner,0,2539.893390891834,1.1944314094754185,0
56,M,Urban,Tablet,Video,1,1525.607817920824,1.5447849000949994,0
23,M,Urban,Desktop,Banner,14,2726.5190249682782,1.1413171356764247,0
25,M,Rural,Tablet,Banner,16,799.075083901608,0.9720593244118823,0
44,M,Rural,Mobile,Banner,14,734.8702043745232,0.6009301044018293,0
26,M,Urban,Tablet,Banner,17,2139.2537890355616,1.269433863990178,1
54,M,Rural,Desktop,Banner,11,1474.2646713369104,1.671717943258026,0
50,F,Urban,Tablet,Video,13,1639.2858930267976,0.5985589436690216,0
59,M,Suburban,Desktop,Video,11,2240.0466102360015,1.5974671902627078,0
61,M,Urban,Desktop,Banner,1,1036.3484576771875,0.8934543765376168,0
41,F,Rural,Tablet,Banner,20,609.8199419144214,0.3125348929722923,0
32,F,Rural,Mobile,Text,15,1597.2230150414982,1.8302034526578126,0
49,F,Rural,Desktop,Video,18,2736.813363722585,1.395105089884669,0
49,M,Rural,Tablet,Banner,0,1626.8446959103446,1.6979147968549198,0
41,M,Urban,Desktop,Text,1,1929.9108509980533,1.34432410587493,0
58,F,Urban,Tablet,Video,11,1020.9202055226727,0.3347154457848281,0
29,F,Suburban,Mobile,Text,3,1660.1848431788253,1.129080038176935,0
56,F,Urban,Desktop,Text,6,1701.6364068333132,1.303895335746273,0
19,M,Suburban,Mobile,Banner,16,1087.8530543780012,0.596311251890577,0
20,F,Urban,Mobile,Banner,4,909.4916686356112,1.2987097054197771,0
54,M,Urban,Mobile,Video,1,1375.6444200361448,1.1769004327107058,0
34,M,Rural,Mobile,Text,12,597.1636248053728,0.14101483329440118,0
19,M,Suburban,Mobile,Text,7,916.1294615423585,1.7768543488895197,0
19,M,Rural,Tablet,Banner,17,2328.3837228867405,1.1143169802204982,0
45,F,Rural,Mobile,Video,3,2122.8346223341914,1.210302002138621,0
40,F,Urban,Tablet,Banner,5,1281.9520404754603,0.3875276036743628,0
54,F,Urban,Mobile,Video,8,1877.904921269823,1.6275726330201479,0
49,M,Suburban,Mobile,Text,9,2573.4623872459915,1.1097975639975182,0
50,F,Suburban,Desktop,Video,3,2597.8617519360255,0.26822722623097717,0
18,M,Urban,Tablet,Text,3,2135.9422698739645,1.4317454384236208,0
36,M,Suburban,Mobile,Video,6,810.1334683225099,1.0289743950002515,0
19,M,Urban,Mobile,Banner,13,907.2505867504769,0.7358545019402467,0
61,F,Urban,Mobile,Banner,11,1229.1830040568866,1.8510052036596654,0
43,M,Urban,Tablet,Banner,14,2176.786847610389,1.6604282630739022,0
49,M,Suburban,Tablet,Video,16,1145.009673997451,0.18130925874360332,0
23,F,Rural,Tablet,Text,20,1661.0812094684156,1.4273934728730289,0
49,F,Suburban,Desktop,Banner,20,2563.8141004170134,0.4270559198532311,1
21,F,Rural,Desktop,Video,12,2729.4343749043474,0.13168917515354384,0
28,M,Suburban,Mobile,Video,0,2596.3634130012592,0.5154152946943469,0
34,M,Rural,Tablet,Banner,21,791.0967106496375,0.190734017864992,0
55,F,Rural,Tablet,Banner,12,2776.885287884328,1.3126462355588542,0
41,M,Suburban,Desktop,Banner,15,2210.346798432449,1.539164518585279,0
22,M,Suburban,Mobile,Banner,12,2046.966495866879,0.4384775426683778,0
51,F,Rural,Tablet,Video,8,1118.8627559727756,0.4977676440793448,0
23,F,Urban,Tablet,Text,22,2820.5696728985918,0.35471828856093457,0
39,F,Rural,Mobile,Text,17,543.4026660175871,1.1684978438813471,0
28,F,Rural,Desktop,Video,15,705.4650336476562,1.0297397049943704,0
33,F,Urban,Desktop,Text,19,884.1864425184283,0.11168751558839851,0
50,F,Rural,Tablet,Video,11,2235.3610819650576,0.8023014237436831,0
26,F,Urban,Mobile,Video,7,2057.143212322878,0.2672875249049085,0
23,F,Urban,Mobile,Video,0,2861.694494169847,1.2000732500716602,0
33,M,Suburban,Mobile,Text,12,1372.4542939334824,1.0001960897784485,0
46,M,Rural,Tablet,Video,21,1369.0418518969364,0.9718949595479058,0
20,M,Rural,Desktop,Video,18,2173.835020650703,1.4967555726092663,0
37,M,Urban,Desktop,Banner,12,935.39303291389,0.9727999751950964,0
53,M,Rural,Desktop,Banner,2,1660.106598647367,1.0237436258765882,0
36,M,Urban,Desktop,Text,0,538.5831226171024,1.3020013337190204,0
43,M,Rural,Desktop,Banner,13,1980.0987681797717,0.6725757397031789,0
20,M,Rural,Tablet,Banner,23,2459.975985781998,1.881066357728372,0
36,M,Urban,Tablet,Banner,20,1009.3858246331731,0.6348083301116138,0
37,M,Urban,Desktop,Video,0,1267.9266552030285,1.8361737856166072,0
49,M,Rural,Desktop,Banner,4,829.598302196383,1.645995001251899,0
24,F,Rural,Tablet,Text,4,2039.1862777216409,1.8218681023349466,0
58,M,Urban,Desktop,Video,10,1910.0513237194266,0.4482298920994968,0
50,F,Suburban,Desktop,Text,18,2565.9904384546603,0.5394014165243942,0
57,M,Suburban,Desktop,Text,11,2925.8592649346956,1.7108549179677082,0
56,F,Rural,Mobile,Text,7,2959.108959353043,1.9186274612913354,0
35,M,Rural,Desktop,Text,9,767.919414279618,1.5310970195478688,0
57,F,Rural,Mobile,Text,17,1882.8412775547708,1.312209825175615,0
18,M,Urban,Desktop,Banner,8,2474.136823142041,1.637870838451349,0
28,F,Rural,Desktop,Banner,10,2147.4577013169746,0.17903464774789876,0
45,M,Rural,Tablet,Text,4,2742.46680634738,1.7232504554036898,0
42,F,Rural,Tablet,Text,23,1604.2979697321987,0.6341423903103394,0
40,M,Suburban,Tablet,Banner,12,1567.7426829518095,0.2076469778504177,0
48,F,Rural,Mobile,Text,12,565.2813554975895,1.3950362134731915,0
47,F,Rural,Mobile,Banner,23,539.1245327690642,1.5302927175965448,0
59,F,Urban,Desktop,Text,3,2231.614929000778,1.2916475681814066,0
52,F,Suburban,Mobile,Text,16,1678.665366341632,0.7652653231059193,0
24,F,Urban,Tablet,Video,13,2150.5769728609166,0.3226907855188845,0
33,F,Rural,Mobile,Text,8,1095.5558271763298,1.5610821657538987,0
43,F,Rural,Desktop,Video,21,2657.730660245041,0.18997785043183782,0
19,F,Rural,Mobile,Text,1,2757.161275775708,1.5434249093819414,0
18,M,Rural,Tablet,Video,3,2155.741795058416,1.9191539758680278,0
29,M,Rural,Desktop,Banner,10,1194.503346086743,1.9939461243647243,0
22,M,Urban,Mobile,Text,9,1040.3899235277077,0.8529817912152237,0
54,F,Rural,Desktop,Banner,4,2063.749665753764,0.30645942026232453,0
49,F,Rural,Desktop,Video,15,2851.9449438520705,0.27961028107016794,0
26,M,Suburban,Mobile,Video,5,1945.2811279221803,1.0339108262146275,0
58,M,Suburban,Desktop,Video,4,2598.2621094372134,1.6043334472783277,0
52,F,Rural,Mobile,Video,12,1913.5138713863937,0.19096878561671315,0
36,F,Rural,Tablet,Banner,8,2186.503234402835,0.4198216658631736,0
33,M,Rural,Tablet,Video,9,1919.44161329963,1.2183725214889751,0
20,F,Rural,Mobile,Text,1,1938.4093738057732,0.2623677252774068,0
37,M,Rural,Mobile,Video,14,2348.125231981541,1.7689818141050584,0
41,F,Rural,Desktop,Banner,11,1490.6109695013727,1.0558872155252066,0
50,M,Urban,Mobile,Banner,11,2759.9942358984545,0.8349884481721909,0
41,M,Urban,Desktop,Text,2,2658.732121181872,0.12514112037624872,0
28,F,Urban,Tablet,Banner,14,2313.285648247672,0.31467743192106357,0
25,M,Suburban,Mobile,Video,18,2358.5654808957374,1.6724547808528185,0
53,F,Rural,Tablet,Text,12,1533.1020210749223,1.428030141926276,0
55,F,Suburban,Mobile,Text,2,2581.316189181697,0.13873264366605992,0
57,F,Suburban,Tablet,Banner,12,2831.523833945803,1.9505486721613374,0
37,F,Suburban,Mobile,Text,21,2487.8715191227448,0.7711829760214487,0
52,F,Urban,Mobile,Video,23,832.5572603609651,1.2521426090389975,0
42,M,Rural,Desktop,Video,4,2466.554804288397,1.4729432468125652,0
52,F,Rural,Desktop,Banner,10,1661.4287344934246,1.9173845058432888,0
42,F,Suburban,Mobile,Video,21,2021.7487747602265,1.7918230589515194,0
46,M,Urban,Desktop,Video,16,2977.8998953780606,1.2350870005546088,0
35,F,Suburban,Mobile,Banner,18,1398.3870236518499,0.3647662948487047,0
63,M,Suburban,Mobile,Video,19,1371.3209627682782,1.7055409186690906,0
35,F,Rural,Tablet,Banner,22,1157.832449568527,1.651830171547463,0
19,M,Urban,Desktop,Banner,11,817.8078007188384,1.3143692461410905,0
52,F,Rural,Desktop,Banner,4,920.4341837824768,1.9795388043908113,0
33,F,Suburban,Tablet,Text,16,1785.6724761519192,1.1037644277425445,0
58,F,Rural,Mobile,Video,18,2774.49956718586,0.5060931327445135,0
53,F,Suburban,Desktop,Video,10,2524.7481687270615,0.5821595080577268,0
50,F,Urban,Mobile,Video,1,956.230183765709,0.8725577621782159,0
21,M,Rural,Desktop,Banner,5,1904.2253642419014,0.903137467372755,0
50,M,Rural,Desktop,Banner,20,2617.3116038328244,1.6791969675036147,0
31,F,Rural,Mobile,Video,2,1848.7325779306866,1.7851972488624108,0
38,M,Rural,Mobile,Video,14,2778.5803033345805,0.8272051917895401,0
37,F,Rural,Desktop,Video,17,2769.712399317067,1.8960721565676966,0
25,F,Urban,Tablet,Video,16,1370.6100738199368,1.8633615868174649,0
24,F,Urban,Tablet,Text,14,2684.8239322775066,0.880091681340229,0
20,M,Rural,Tablet,Banner,1,1962.789509475077,1.7493329716617305,0
34,F,Suburban,Tablet,Text,4,1699.6157730229188,0.31435773215937124,0
50,M,Suburban,Tablet,Video,4,2435.6631869938674,1.0713443544105448,0
29,F,Rural,Mobile,Banner,8,2474.041895054512,1.4540814351710158,0
39,F,Rural,Desktop,Text,5,2188.5559041354886,0.7565800666520303,1
39,M,Urban,Tablet,Text,18,2527.234426889633,0.14387401304701863,0
63,F,Urban,Desktop,Banner,9,2878.559780889821,0.2053819321152158,0
47,M,Rural,Mobile,Text,18,2682.7186342655164,1.7996665026305725,0
55,F,Rural,Desktop,Video,18,685.6331772164585,1.0851351561470295,0
55,F,Suburban,Mobile,Text,15,2625.072442021617,0.3893625183957603,0
62,F,Urban,Desktop,Text,11,2453.819229830209,1.8140220639428133,0
25,M,Rural,Desktop,Video,23,2816.85348479375,1.890148462126624,0
44,F,Urban,Mobile,Video,8,2348.922391970703,0.719532641812397,0
44,M,Rural,Desktop,Text,2,2694.6337931714684,1.2133735218796249,0
51,F,Rural,Mobile,Video,16,525.5469044617471,0.7190141763078957,0
38,F,Rural,Desktop,Banner,23,2944.5133108312402,1.4779982759102197,0
47,M,Rural,Desktop,Banner,9,977.2657601512203,1.9010677792987074,1
50,F,Suburban,Tablet,Video,17,2660.5738885716114,0.15292851941331886,0
45,F,Rural,Desktop,Video,6,2824.026582200651,0.9946546318883265,1
64,M,Suburban,Tablet,Banner,6,505.5585836144781,1.618241231396001,0
50,M,Suburban,Tablet,Banner,8,2784.195226670149,1.4094275011715731,0
22,M,Rural,Mobile,Text,15,2573.0297072896246,0.4462469965996194,0
36,F,Urban,Mobile,Text,23,2806.0316139865163,0.8451680559561648,0
21,M,Urban,Desktop,Text,10,942.2057624877159,0.9897377585810201,0
52,M,Rural,Mobile,Text,8,2443.6023336308626,1.5154467445743711,0
34,F,Rural,Tablet,Banner,0,1718.71463688627,0.9722913961172784,0
61,M,Rural,Desktop,Banner,11,1144.222587499351,0.6965713862705649,0
45,M,Urban,Mobile,Banner,2,2390.4285099046965,0.8885053967972939,0
47,F,Urban,Mobile,Video,19,1683.1330659194612,1.9370906716682235,0
46,M,Rural,Mobile,Banner,18,2749.7117188349935,0.18886128200016805,0
63,F,Urban,Tablet,Video,7,2276.8287583097995,0.7342080635840065,0
23,M,Suburban,Mobile,Video,6,847.8634574007439,0.47615564827642376,0
52,M,Urban,Desktop,Video,4,1126.908677227106,0.8609566281950379,0
58,F,Urban,Desktop,Text,4,1161.3338257609653,1.2129316612382985,0
54,M,Rural,Desktop,Video,19,1360.1252256320063,0.4691361698190575,0
41,F,Suburban,Tablet,Banner,4,2166.1260731123607,0.9103402653089527,0
46,M,Rural,Mobile,Banner,11,2735.8314093856475,1.6729182815956587,0
63,M,Urban,Desktop,Banner,20,1984.250642735226,1.3200350921847572,0
48,F,Suburban,Mobile,Banner,19,2379.5042790803936,1.3905617517893942,0
52,F,Rural,Mobile,Banner,4,1291.8322415772943,1.8866920665400195,0
50,M,Urban,Desktop,Banner,22,1806.1620147323438,0.8770254010182946,0
38,M,Suburban,Tablet,Video,6,1760.3158590276798,1.996218906261627,0
49,M,Rural,Desktop,Banner,0,2252.6495615985846,0.8258844837543496,0
40,F,Suburban,Desktop,Video,18,1794.8973608334234,0.44709977405933976,0
50,F,Urban,Tablet,Text,1,1335.6340765970754,1.6342304999711033,0
20,M,Rural,Mobile,Banner,11,1109.7685071308567,1.0689447663638605,0
35,M,Urban,Mobile,Text,9,1136.7648721836413,0.7554033094876288,0
42,M,Suburban,Tablet,Text,15,2952.2110683095757,0.5680157945042893,0
59,F,Urban,Desktop,Text,10,1393.6912169268317,1.660834775817436,0
48,M,Suburban,Tablet,Banner,17,2516.510242534496,1.17159622976243,0
20,F,Rural,Desktop,Video,11,678.4160051606476,1.2863843874949437,0
57,F,Urban,Tablet,Text,8,724.1330727499766,0.9783076173286036,0
63,M,Rural,Mobile,Banner,20,2215.377881149924,0.5074911896464769,0
41,F,Rural,Tablet,Video,21,1643.022795256272,0.7414071688523179,0
49,F,Rural,Tablet,Text,6,2701.233248229529,0.3445406804646278,0
64,M,Rural,Desktop,Banner,6,2655.550685705834,0.7482598272904113,0
39,M,Urban,Desktop,Video,12,2389.143101868519,1.8341296140970582,0
40,M,Urban,Desktop,Video,19,2538.2905532130035,1.1922399289950738,0
19,M,Rural,Tablet,Banner,12,2676.260197815435,0.18778394398977685,0
